List,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
967,FANH,Fanhua Inc.,23.54,860345663.8,36548244,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fanh
968,XELA,"Exela Technologies, Inc.",5.43,858762753.6,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xela
969,RDWR,Radware Ltd.,19.87,858162449.5,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/rdwr
970,CNOB,"ConnectOne Bancorp, Inc.",26.8,858010495.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
971,SYBT,"Stock Yards Bancorp, Inc.",37.8,856949058,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt
972,SP,SP Plus Corporation,38.05,856911569.6,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/sp
973,NEXT,NextDecade Corporation,8.04,854447197.1,n/a,2015,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/next
974,TDIV,First Trust NASDAQ Technology Dividend Index Fund,36.125,852730625,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tdiv
975,SCMP,"Sucampo Pharmaceuticals, Inc.",18.05,851391515.3,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp
976,SLRC,Solar Capital Ltd.,20.13,850710427.4,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/slrc
977,TRST,TrustCo Bank Corp NY,8.85,850552224.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/trst
978,CROX,"Crocs, Inc.",12.2,849947489.4,n/a,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
979,EVBG,"Everbridge, Inc.",30.08,849901105.3,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/evbg
980,FARO,"FARO Technologies, Inc.",50.7,847255406.4,n/a,1997,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro
981,PHO,PowerShares Water Resources Portfolio,30.51,846652500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pho
982,CTBI,"Community Trust Bancorp, Inc.",47.75,844828000.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
983,CECO,Career Education Corporation,12.2,842941871.2,n/a,1998,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceco
984,DCPH,"Deciphera Pharmaceuticals, Inc.",25.81,841191415.7,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dcph
985,PGTI,"PGT Innovations, Inc.",16.9,839265813.1,n/a,2006,Capital Goods,Building Products,http://www.nasdaq.com/symbol/pgti
986,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,64.42,837588840,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fdt
987,CRESY,Cresud S.A.C.I.F. y A.,22.48,837586231.5,37259174,1997,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
988,MTGE,MTGE Investment Corp.,18.25,835807787.8,n/a,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
989,BNFT,"Benefitfocus, Inc.",26.6,831868024.4,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
990,KTWO,"K2M Group Holdings, Inc.",19.19,831474433.1,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
991,AMPH,"Amphastar Pharmaceuticals, Inc.",18.06,830321972.8,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
992,UVSP,Univest Corporation of Pennsylvania,28.3,830020746.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/uvsp
993,AEGN,Aegion Corp,25.48,828783399.1,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
994,RBCAA,"Republic Bancorp, Inc.",39.72,828578742.2,n/a,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/rbcaa
995,PRSC,The Providence Service Corporation,62.21,827735279.4,n/a,2003,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/prsc
996,NFBK,"Northfield Bancorp, Inc.",16.87,824602428.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/nfbk
997,AFAM,Almost Family Inc,58.85,822012739.4,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
998,ANIK,Anika Therapeutics Inc.,56.03,821498917.1,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
999,NTLA,"Intellia Therapeutics, Inc.",22.71,819508881.4,n/a,2016,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/ntla
1000,GBNK,Guaranty Bancorp,27.95,817292099,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gbnk
1001,INTL,INTL FCStone Inc.,43.55,817263001.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/intl
1002,VONE,Vanguard Russell 1000 ETF,125.52,815880000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vone
1003,CSTE,Caesarstone Ltd.,23.75,815137358.8,n/a,2012,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cste
1004,CSII,"Cardiovascular Systems, Inc.",23.88,814821730.4,n/a,1981,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii
1005,LNTH,"Lantheus Holdings, Inc.",21.7,813880113.2,n/a,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/lnth
1006,ORBC,ORBCOMM Inc.,10.91,810536793.7,n/a,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/orbc
1007,USMC,Principal U.S. Mega-Cap Multi-Factor Index ETF,26.68,809738026.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/usmc
1008,ANIP,"ANI Pharmaceuticals, Inc.",69.41,808897407.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
1009,GABC,"German American Bancorp, Inc.",35.07,804155696.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gabc
1010,RBBN,Ribbon Communications Inc. ,7.83,803168842.9,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/rbbn
1011,WSC,WillScot Corporation,12.9,802435844.1,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/wsc
1012,BJRI,"BJ&#39;s Restaurants, Inc.",38.8,800575687.2,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bjri
1013,FFIC,Flushing Financial Corporation,27.76,800040174.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffic
1014,MCRI,"Monarch Casino & Resort, Inc.",45.11,798470141.4,n/a,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mcri
1015,CAMP,CalAmp Corp.,22.41,798347622.2,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp
1016,IXYS,IXYS Corporation,24.3,796289202.9,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys
1017,CARO,Carolina Financial Corporation,37.79,795872327.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caro
1018,KANG,"iKang Healthcare Group, Inc.",15.82,795582136.4,50289642,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/kang
1019,GLRE,"Greenlight Reinsurance, Ltd.",21.25,793661001.3,n/a,2007,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/glre
1020,FNX,First Trust Mid Cap Core AlphaDEX Fund,67.01,790718134,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fnx
1021,SGH,"SMART Global Holdings, Inc.",36.33,790209942.7,n/a,2017,Technology,Semiconductors,http://www.nasdaq.com/symbol/sgh
1022,FORR,"Forrester Research, Inc.",43.95,790001250,n/a,1996,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/forr
1023,DCOM,"Dime Community Bancshares, Inc.",21.1,789622852.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom
1024,UCTT,"Ultra Clean Holdings, Inc.",23.44,788224919.9,n/a,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/uctt
1025,MDIV,First Trust Multi-Asset Diversified Income Index Fund,19.16,787476038.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdiv
1026,VECO,Veeco Instruments Inc.,16.3,787321116.7,n/a,1994,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/veco
1027,CHI,Calamos Convertible Opportunities and Income Fund,11.21,784961439.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/chi
1028,INSY,"Insys Therapeutics, Inc.",10.7,784488155,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/insy
1029,CTRL,Control4 Corporation,31.01,783514072,n/a,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
1030,VICR,Vicor Corporation,19.9,782853164.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/vicr
1031,VIGI,Vanguard International Dividend Appreciation ETF,68.1,781238228.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vigi
1032,AIA,iShares Asia 50 ETF,68.92,778796000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aia
1033,NVMI,Nova Measuring Instruments Ltd.,28.22,775785832.6,n/a,2000,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/nvmi
1034,HMST,"HomeStreet, Inc.",28.85,775727108.8,n/a,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/hmst
1035,UIHC,United Insurance Holdings Corp.,18.14,775548562.6,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/uihc
1036,GNBC,"Green Bancorp, Inc.",20.8,775441097.6,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/gnbc
1037,ADMS,"Adamas Pharmaceuticals, Inc.",34.03,775165286.4,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
1038,SBLK,Star Bulk Carriers Corp.,12.2,773668843.8,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblk
1039,ARII,"American Railcar Industries, Inc.",40.51,773087897.8,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
1040,ECHO,"Echo Global Logistics, Inc.",27.65,771645748.3,n/a,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
1041,QIWI,QIWI plc,17.13,771256100.9,45023707,2013,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/qiwi
1042,NNBR,"NN, Inc.",27.95,770676446.2,n/a,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/nnbr
1043,QADA,QAD Inc.,39.95,768855567.7,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qada
1044,NCSM,"NCS Multistage Holdings, Inc.",17.44,765818931.8,n/a,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ncsm
1045,RYTM,"Rhythm Pharmaceuticals, Inc.",27.94,762318871.6,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rytm
1046,TLND,Talend S.A.,40.49,761267714.2,18801376,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tlnd
1047,ACRS,"Aclaris Therapeutics, Inc.",24.63,759458143.8,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
1048,WRLD,World Acceptance Corporation,85.62,758298153.5,n/a,1991,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wrld
1049,AAOI,"Applied Optoelectronics, Inc.",38.89,753773213.5,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
1050,HSTM,"HealthStream, Inc.",23.62,753391007.5,n/a,2000,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/hstm
1051,SWIR,"Sierra Wireless, Inc.",21,752896242,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/swir
1052,PDBC,PowerShares Optimum Yield Diversified Commodity Strategy No K-,17.59,751163360,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pdbc
1053,ASMB,"Assembly Biosciences, Inc.",43.12,750190160.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asmb
1054,ORIT,Oritani Financial Corp.,16.2,749733813,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/orit
1055,PTCT,"PTC Therapeutics, Inc.",17.93,743908169.4,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptct
1056,LSCC,Lattice Semiconductor Corporation,6.02,742661441.8,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lscc
1057,ACIU,AC Immune SA,13.04,742266035.7,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
1058,SCWX,SecureWorks Corp.,9.14,741044620.9,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/scwx
1059,FTC,First Trust Large Cap Growth AlphaDEX Fund,63,737100126,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftc
1060,ITRN,Ituran Location and Control Ltd.,35.05,734932500.9,n/a,2005,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/itrn
1061,CSWI,"CSW Industrials, Inc.",46,734607258,n/a,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
1062,MGNX,"MacroGenics, Inc.",19.93,733876610.3,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mgnx
1063,FEP,First Trust Europe AlphaDEX Fund,40.49,732869081,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fep
1064,DOVA,"Dova Pharmaceuticals, Inc.",28.55,732377647.4,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dova
1065,ABEO,Abeona Therapeutics Inc.,15.65,732032772.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
1066,VYMI,Vanguard International High Dividend Yield ETF,69,731612451,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vymi
1067,GDS,GDS Holdings Limited,24.5,729146950,29761100,2016,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/gds
1068,FLWS,"1-800 FLOWERS.COM, Inc.",11.25,727025197.5,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
1069,CHRS,"Coherus BioSciences, Inc.",12.35,725210944.9,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs
1070,CLXT,"Calyxt, Inc.",26.18,725006143.4,n/a,2017,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/clxt
1071,GSBC,"Great Southern Bancorp, Inc.",51.5,724022792.5,n/a,1989,Finance,Major Banks,http://www.nasdaq.com/symbol/gsbc
1072,AKBA,"Akebia Therapeutics, Inc.",15.31,723690732.4,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
1073,AMBC,"Ambac Financial Group, Inc.",15.98,723113632.7,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
1074,CBTX,"CBTX, Inc.",28.85,722571676.2,n/a,2017,Finance,Major Banks,http://www.nasdaq.com/symbol/cbtx
1075,DHIL,"Diamond Hill Investment Group, Inc.",207.8,720912851.4,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/dhil
1076,LPSN,"LivePerson, Inc.",12.05,717270441.9,n/a,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/lpsn
1077,JBSS,"John B. Sanfilippo & Son, Inc.",63.35,715690860.2,n/a,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss
1078,STKL,"SunOpta, Inc.",8.25,715559344.5,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/stkl
1079,CARB,"Carbonite, Inc.",25.6,715450035.2,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
1080,FFWM,First Foundation Inc.,18.7,714485224.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffwm
1081,UEPS,"Net 1 UEPS Technologies, Inc.",12.55,714442584.8,n/a,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ueps
1082,LTRPB,"Liberty TripAdvisor Holdings, Inc.",9.5,713035847.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpb
1083,UEIC,Universal Electronics Inc.,49.65,710280437.9,n/a,1993,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ueic
1084,EXAC,"Exactech, Inc.",49.35,708971032.4,n/a,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
1085,GBLI,Global Indemnity Limited,40.28,708781582.2,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/gbli
1086,KBAL,"Kimball International, Inc.",18.9,708322179.6,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/kbal
1087,CASS,"Cass Information Systems, Inc",57.65,708114027.6,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cass
1088,IMKTA,"Ingles Markets, Incorporated",34.95,708079171.2,n/a,1987,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/imkta
1089,FRTA,"Forterra, Inc.",11.01,707703829.8,n/a,2016,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/frta
1090,BLDP,"Ballard Power Systems, Inc.",3.97,706898863,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bldp
1091,CNXN,"PC Connection, Inc.",26.34,706323799.6,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cnxn
1092,LTRPA,"Liberty TripAdvisor Holdings, Inc.",9.4,705530207,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpa
1093,KFRC,"Kforce, Inc.",26.65,705352772.2,n/a,1995,Technology,Professional Services,http://www.nasdaq.com/symbol/kfrc
1094,ICHR,Ichor Holdings,27.5,703693980,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/ichr
1095,NEO,"NeoGenomics, Inc.",8.73,701975432.6,n/a,n/a,Health Care,Precision Instruments,http://www.nasdaq.com/symbol/neo
1096,RRGB,"Red Robin Gourmet Burgers, Inc.",54.05,699192908,n/a,2002,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/rrgb
1097,BDGE,"Bridge Bancorp, Inc.",35.4,697733008.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bdge
1098,SBT,"Sterling Bancorp, Inc.",13.16,696997133.3,n/a,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sbt
1099,TPIC,"TPI Composites, Inc.",20.45,695504806.8,n/a,2016,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tpic
1100,FLIC,The First of Long Island Corporation,28.1,692135708.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/flic
1101,OFLX,"Omega Flex, Inc.",68.55,691794398.1,n/a,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/oflx
1102,GPRE,"Green Plains, Inc.",16.8,691525027.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gpre
1103,OCSL,Oaktree Specialty Lending Corporation,4.905,691411993.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ocsl
1104,CYOU,Changyou.com Limited,35.88,689439797.3,19215156,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
1105,HBNC,Horizon Bancorp (IN),27.04,689045123.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbnc
1106,PRFT,"Perficient, Inc.",19.69,687339681.7,n/a,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/prft
1107,GTYH,"GTY Technology Holdings, Inc.",9.95,686550000,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/gtyh
1108,NYMT,"New York Mortgage Trust, Inc.",6.13,685665161,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nymt
1109,VNDA,Vanda Pharmaceuticals Inc.,15.25,685144756.3,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vnda
1110,HEWG,iShares Currency Hedged MSCI Germany ETF,29.775,684825000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hewg
1111,CETV,Central European Media Enterprises Ltd.,4.7,681329958.7,n/a,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv
1112,ESIO,"Electro Scientific Industries, Inc.",20.32,680552034.9,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
1113,RPXC,RPX Corporation,13.74,680493189.4,n/a,2011,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/rpxc
1114,DSKE,"Daseke, Inc.",13.97,680339000,n/a,2015,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dske
1115,TBK,"Triumph Bancorp, Inc.",32.55,677720295,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/tbk
1116,ULH,"Universal Logistics Holdings, Inc.",23.75,674290928.8,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/ulh
1117,VBTX,"Veritex Holdings, Inc.",27.85,671149296.3,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/vbtx
1118,TSC,"TriState Capital Holdings, Inc.",23.4,670236208.2,n/a,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/tsc
1119,AOBC,American Outdoor Brands Corporation,12.37,669392542.7,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
1120,NANO,Nanometrics Incorporated,26.08,667508263.4,n/a,1984,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/nano
1121,CAC,Camden National Corporation,42.96,666569465,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cac
1122,RUTH,"Ruth&#39;s Hospitality Group, Inc.",21.3,666225851.7,n/a,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/ruth
1123,MGI,"Moneygram International, Inc.",12.28,665960732.4,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mgi
1124,RRD,R.R. Donnelley & Sons Company,9.49,665249000,n/a,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/rrd
1125,LJPC,La Jolla Pharmaceutical Company,30.03,665021647.3,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ljpc
1126,SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,50.2,662640000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slqd
1127,PVAC,Penn Virginia Corporation,44.11,661838349.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pvac
1128,EZPW,"EZCORP, Inc.",12.1,658215836.3,n/a,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
1129,COHU,"Cohu, Inc.",23.25,657696418.5,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu
1130,FRPT,"Freshpet, Inc.",18.75,653647462.5,n/a,2014,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/frpt
1131,TCX,Tucows Inc.,61.65,652337391.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/tcx
1132,OPTN,"OptiNose, Inc.",17.2,650464663.6,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/optn
1133,STAA,STAAR Surgical Company,15.8,650394849.8,n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa
1134,PGC,Peapack-Gladstone Financial Corporation,35.61,650223537,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/pgc
1135,LBC,Luther Burbank Corporation,11.99,649258500,n/a,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/lbc
1136,ODT,"Odonate Therapeutics, Inc.",24.13,648864290.3,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/odt
1137,FTCS,First Trust Capital Strength ETF,52.26,648024104.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftcs
1138,GLYC,"GlycoMimetics, Inc.",18.82,646237377.2,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/glyc
1139,CTWS,"Connecticut Water Service, Inc.",53.52,645895362.5,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
1140,TGTX,"TG Therapeutics, Inc.",9.1,642935629.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tgtx
1141,RUN,Sunrun Inc.,6.01,641788668,n/a,2015,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/run
1142,BYSI,"BeyondSpring, Inc.",28,639658936,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bysi
1143,VIVO,Meridian Bioscience Inc.,15.1,638843884.2,n/a,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vivo
1144,VRAY,"ViewRay, Inc.",9.47,638792183.1,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/vray
1145,IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,30.59,636272000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifgl
1146,MSBI,"Midland States Bancorp, Inc.",32.9,633459890,n/a,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/msbi
1147,FPRX,"Five Prime Therapeutics, Inc.",21.84,631836463.4,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fprx
1148,JOUT,Johnson Outdoors Inc.,62.99,629849545,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout
1149,HONE,"HarborOne Bancorp, Inc.",19.22,627769309.9,n/a,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/hone
1150,CNCE,"Concert Pharmaceuticals, Inc.",27.54,627157514.2,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
1151,DBVT,DBV Technologies S.A.,26.51,626437344.3,23630228,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt
1152,EEMA,iShares MSCI Emerging Markets Asia Index Fund,77.1,624510000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eema
1153,BBH,VanEck Vectors Biotech ETF,128.33,621951730,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bbh
1154,ZIOP,ZIOPHARM Oncology Inc,4.38,621797015.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ziop
